"ImageURN", textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.032,0.4756,0.62,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.105,0.5409,0.563,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.112,0.6024,0.55,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.023,0.6684,0.555,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.035,0.7352,0.7,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.025,0.7862,0.601,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_265@0.03,0.6504,0.213,0.2333", large letter L
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.35,0.0563,0.538,0.0653", Page 266
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.356,0.117,0.534,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.354,0.18,0.35,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.286,0.2453,0.61,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.272,0.3046,0.616,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.275,0.3623,0.609,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.264,0.4434,0.64,0.0443",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.272,0.4809,0.649,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.23,0.4104,0.333,0.2258", large letter N
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.535,0.5491,0.348,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.35,0.6137,0.527,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.337,0.6669,0.555,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.351,0.7322,0.521,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_266@0.339,0.7839,0.536,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.128,0.0548,0.552,0.0653", Page 267
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.071,0.1148,0.603,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.141,0.1718,0.508,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.08,0.2356,0.63,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.071,0.2881,0.631,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.133,0.3398,0.602,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.068,0.4021,0.629,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.116,0.4749,0.594,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.128,0.5386,0.53,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.105,0.6062,0.557,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.088,0.6692,0.633,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.062,0.7239,0.622,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.079,0.6527,0.298,0.2243", large letter D
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.098,0.7194,0.576,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_267@0.053,0.7832,0.627,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.363,0.0548,0.557,0.0668", Page 268
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.356,0.1155,0.583,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.368,0.174,0.534,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.36,0.2401,0.546,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.354,0.2873,0.543,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.296,0.3458,0.608,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.28,0.4104,0.615,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.35,0.4696,0.587,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.352,0.5334,0.545,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.288,0.5979,0.635,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.328,0.6542,0.526,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.295,0.7202,0.575,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.323,0.7862,0.581,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_268@0.824,0.7359,0.093,0.1208", neumes for above line
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.126,0.0518,0.595,0.0683", Page 269
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.134,0.1005,0.669,0.0848", text from above line
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.056,0.1973,0.343,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.061,0.2438,0.669,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.119,0.2956,0.54,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.119,0.2956,0.54,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.079,0.4269,0.659,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.08,0.4786,0.612,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.07,0.4126,0.267,0.1575", large letter M
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.296,0.5589,0.353,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.092,0.6024,0.6,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.119,0.6579,0.556,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.101,0.7232,0.549,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_269@0.104,0.7884,0.286,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.301,0.0608,0.649,0.0675", Page 270
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.283,0.117,0.664,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.359,0.18,0.595,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.292,0.2416,0.604,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.292,0.2416,0.604,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.352,0.3481,0.556,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.272,0.4059,0.643,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.35,0.4809,0.601,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.265,0.5416,0.636,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.35,0.6077,0.551,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.345,0.6632,0.566,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.354,0.7284,0.57,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_270@0.348,0.7817,0.243,0.0675",
