ImageURN, PageURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.368,0.0675,0.542,0.0645", Page 396
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.363,0.1283,0.573,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.372,0.1898,0.52,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.381,0.2476,0.556,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.365,0.3143,0.38,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.335,0.3788,0.558,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.37,0.4314,0.546,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.363,0.4741,0.611,0.0855", text from above line
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.354,0.5521,0.587,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.357,0.6212,0.451,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.31,0.6962,0.587,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.361,0.7472,0.54,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_396@0.347,0.8005,0.605,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.114,0.066,0.435,0.0698", Page 397
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.058,0.1365,0.606,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.12,0.195,0.542,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.117,0.2506,0.555,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.126,0.3136,0.583,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.128,0.4254,0.585,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.13,0.4269,0.588,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.104,0.4891,0.605,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.144,0.5551,0.581,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.14,0.6167,0.564,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.141,0.6782,0.535,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.134,0.7412,0.547,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_397@0.076,0.8012,0.649,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.252,0.0518,0.736,0.0833", Page 398
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.376,0.126,0.556,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.396,0.1875,0.546,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.357,0.2476,0.583,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.326,0.3031,0.627,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.377,0.3713,0.571,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.378,0.4254,0.559,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.381,0.4876,0.543,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.364,0.5491,0.556,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.38,0.6107,0.524,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.313,0.6812,0.617,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.365,0.7404,0.593,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_398@0.341,0.8005,0.571,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.12,0.078,0.548,0.06", Page 399
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.061,0.1395,0.647,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.124,0.1935,0.6,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.132,0.2536,0.56,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.134,0.3098,0.55,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.138,0.3668,0.552,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.132,0.4329,0.316,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.08,0.4966,0.644,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.136,0.5544,0.536,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.132,0.6152,0.554,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.136,0.6804,0.56,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.128,0.7397,0.47,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_399@0.076,0.8027,0.624,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.356,0.0518,0.554,0.0848", Page 400
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.356,0.1245,0.532,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.356,0.1808,0.56,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.353,0.2461,0.267,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.308,0.2956,0.644,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.356,0.3743,0.552,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.352,0.4314,0.532,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.345,0.4929,0.608,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.349,0.5521,0.537,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.353,0.6234,0.519,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.338,0.6812,0.343,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.281,0.7404,0.617,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_400@0.329,0.8035,0.579,0.069",
 
