Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_075@0.0891,0.7712,0.5636,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3604,0.042,0.5215,0.087",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3574,0.1215,0.5215,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.2873,0.1778,0.6727,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3624,0.2408,0.3954,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.2783,0.2933,0.6557,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3614,0.3556,0.5606,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.2883,0.4141,0.6887,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3594,0.4749,0.6016,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3483,0.5356,0.6016,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.2873,0.5994,0.6346,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3684,0.6684,0.5656,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3493,0.7187,0.5656,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_076@0.3534,0.7734,0.4234,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1331,0.0713,0.5265,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0,0.0645,0.1371,0.3526", giant letter I
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0,0.1253,0.6066,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1101,0.1823,0.6066,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.0991,0.2438,0.5866,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1051,0.3001,0.5866,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.0991,0.3563,0.5145,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.039,0.3946,0.7397,0.099",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.041,0.4831,0.7397,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1231,0.5424,0.5746,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1131,0.6062,0.3754,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.049,0.6497,0.6496,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.1041,0.7172,0.7067,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_077@0.0641,0.7869,0.4224,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3003,0.0623,0.6246,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3273,0.1268,0.6246,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3443,0.1838,0.6246,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.2943,0.2431,0.6246,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3634,0.3008,0.5656,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.2963,0.3593,0.6286,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3373,0.4239,0.6286,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.2883,0.4899,0.5776,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.4735,0.5514,0.4054,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.2843,0.5409,0.1912,0.2018", giant letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.2843,0.6017,0.6146,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.4655,0.6534,0.4424,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3584,0.7179,0.5606,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_078@0.3554,0.7764,0.4354,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.026,0.0833,0.7528,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.02,0.1523,0.5345,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.019,0.1935,0.7337,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.1011,0.2461,0.5946,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.046,0.3023,0.6306,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.1091,0.3646,0.7217,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.038,0.4314,0.6687,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.1031,0.4891,0.5636,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.0961,0.5469,0.5636,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.045,0.6099,0.6166,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.1191,0.6684,0.5445,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.1271,0.7097,0.5756,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_079@0.0981,0.7817,0.2633,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.5235,0.0803,0.4384,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.2392,0.0728,0.2993,0.189", moderatlely giant letter V
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.2392,0.1403,0.6797,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.4144,0.1928,0.4975,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.2763,0.2476,0.6607,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3674,0.3106,0.5856,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3684,0.3683,0.4454,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.2973,0.4321,0.5946,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3664,0.4929,0.5395,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3373,0.5484,0.4635,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.2863,0.6099,0.6937,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3574,0.6707,0.5335,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3003,0.7277,0.6096,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_080@0.3113,0.7869,0.6096,0.063",
