ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.038,0.0863,0.6086,0.0675", "page 91"
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.0891,0.1493,0.7518,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.0891,0.2131,0.7518,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1021,0.2641,0.6857,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1081,0.3203,0.5225,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1071,0.3923,0.4925,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1041,0.4434,0.6647,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1001,0.4801,0.6597,0.087",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.036,0.5641,0.6086,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.0971,0.6317,0.5255,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.1001,0.6812,0.4875,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.0951,0.7442,0.4304,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_091@0.0701,0.8027,0.5936,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.2342,0.0705,0.6336,0.102", "page 92"
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.3784,0.1575,0.5025,0.0435",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.3413,0.1965,0.5716,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.3403,0.2558,0.5245,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.3433,0.3061,0.5856,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.2733,0.3713,0.6476,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_092@0.3423,0.4366,0.5756,0.0698",
