"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1091,0.054,0.7167,0.09", "page 141"
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.0541,0.1365,0.5686,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1131,0.2003,0.6286,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1141,0.2678,0.6657,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.04,0.3233,0.6006,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1141,0.3781,0.6537,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1221,0.4366,0.5846,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1081,0.5004,0.6356,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1121,0.5619,0.5325,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1131,0.6227,0.5916,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.047,0.6759,0.7437,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1121,0.7472,0.6607,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_141@0.1131,0.7974,0.5696,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3514,0.0825,0.5926,0.0615", "page 142"
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.2903,0.1425,0.6767,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3544,0.186,0.6126,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3604,0.2611,0.6126,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3544,0.3241,0.5556,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3483,0.3803,0.5856,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.2663,0.4524,0.6036,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3524,0.5094,0.5415,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3564,0.5656,0.5155,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3564,0.6249,0.2863,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.4244,0.6932,0.3644,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.1932,0.6744,0.2342,0.2881",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.4104,0.7322,0.4895,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_142@0.3534,0.7929,0.4955,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1031,0.0473,0.5896,0.1005", "page 143"
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1121,0.135,0.4595,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1181,0.1845,0.5295,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.0621,0.2521,0.6787,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.0571,0.3068,0.5776,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1251,0.3608,0.6567,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1281,0.4269,0.5275,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1281,0.4921,0.3854,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.0571,0.5334,0.7067,0.0908",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1221,0.6204,0.5315,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1271,0.6857,0.6486,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.049,0.7397,0.6016,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_143@0.1261,0.7854,0.5435,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3814,0.0458,0.5756,0.0983", "page 144"
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3063,0.1245,0.6316,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3744,0.195,0.5495,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3694,0.2416,0.5566,0.0803",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.2943,0.3053,0.6166,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3554,0.3631,0.5415,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3534,0.4321,0.5245,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_144@0.3463,0.4884,0.5415,0.0705",
