ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0739,0.0443,0.4855,0.0795", Page 351
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1069,0.1095,0.5824,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1379,0.159,0.6084,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0899,0.2243,0.6723,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.6444,0.168,0.1449,0.1118", additional neumes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1129,0.2723,0.5584,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1339,0.3391,0.6593,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.6144,0.2378,0.2198,0.1688", additional neumes for previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0599,0.4021,0.5964,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0979,0.4726,0.5974,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1299,0.5386,0.4585,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0819,0.6039,0.5654,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.0769,0.6632,0.4416,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1009,0.7232,0.5564,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_351@0.1329,0.7757,0.5674,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_352@0.3427,0.0383,0.6234,0.0788", Page 352
"urn:cite:ecod:einsiedeln121img.sbe_0121_352@0.3037,0.1043,0.6563,0.0825", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_352@0.3197,0.1718,0.6044,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_352@0.3207,0.2281,0.5475,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_352@0.2717,0.2888,0.5275,0.0735",
