Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0521,0.0563,0.5866,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0,0.1103,0.7417,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0891,0.1658,0.6266,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0741,0.2303,0.7157,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.034,0.2933,0.6817,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0821,0.3496,0.6817,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0681,0.4254,0.6817,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.032,0.4771,0.6226,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0531,0.5394,0.5956,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1081,0.6054,0.6226,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1051,0.6677,0.3103,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.036,0.7239,0.6587,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1091,0.7854,0.5385,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3413,0.054,0.6006,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3814,0.12,0.5526,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3804,0.1808,0.5526,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3684,0.2408,0.5526,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3103,0.3001,0.6086,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3674,0.3548,0.6086,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3524,0.4231,0.6086,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3504,0.4869,0.6086,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3584,0.5491,0.6086,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.2823,0.6099,0.6687,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3524,0.6722,0.5295,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3093,0.7937,0.3954,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.015,0.0405,0.6216,0.1268",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.1371,0.1238,0.4975,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.0731,0.177,0.5195,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.0811,0.2363,0.5195,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.0861,0.2903,0.5195,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.03,0.3556,0.6286,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.017,0.4149,0.6436,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.0931,0.4651,0.6797,0.084",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.036,0.5394,0.6977,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.1091,0.5994,0.6927,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.011,0.6564,0.6927,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.1011,0.7209,0.6927,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_113@0.043,0.7614,0.7658,0.0908",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3764,0.0563,0.5475,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3844,0.1215,0.5856,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3013,0.1823,0.6527,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3844,0.2401,0.5455,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3864,0.2986,0.5506,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3824,0.3563,0.4284,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3143,0.4149,0.6256,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3744,0.4861,0.5636,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_114@0.3714,0.5326,0.6056,0.0758",
