Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.144,0.6669,0.384,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.066,0.7194,0.591,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_275@0.144,0.7779,0.569,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.362,0.0413,0.527,0.0795",Page 276
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.365,0.1058,0.527,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.28,0.165,0.603,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.353,0.2236,0.507,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.319,0.2813,0.507,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.278,0.3428,0.619,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.338,0.4006,0.54,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.346,0.4696,0.518,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.343,0.5371,0.531,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.337,0.5941,0.569,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.281,0.6557,0.659,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.685,0.6182,0.241,0.0473",Continuation of Neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.335,0.7127,0.503,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_276@0.334,0.7674,0.573,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.1,0.045,0.554,0.078",Page 277
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.055,0.1118,0.593,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.113,0.1725,0.53,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.113,0.2273,0.405,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.221,0.3008,0.416,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.065,0.2941,0.155,0.1868",Large S
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.257,0.3436,0.351,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.252,0.4051,0.416,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.114,0.4824,0.508,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.121,0.5371,0.477,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.064,0.6039,0.275,0.057",
