ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.0561,0.051,0.5776,0.0818",Page 121
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1221,0.1245,0.5355,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1261,0.1748,0.5786,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1241,0.2198,0.5205,0.0908",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.0631,0.2971,0.6276,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1231,0.3616,0.5435,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1251,0.4224,0.5435,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1271,0.4794,0.6987,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1171,0.5296,0.6537,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.0501,0.6092,0.6176,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1311,0.6639,0.6146,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.1311,0.7292,0.1381,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_121@0.0901,0.7914,0.3804,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.1812,0.0375,0.2402,0.1403",Page 122
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3944,0.06,0.5035,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3774,0.1373,0.5105,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3534,0.1988,0.5335,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3473,0.2453,0.4735,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.2903,0.3098,0.5676,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.2803,0.3751,0.5636,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.2713,0.4179,0.6056,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3493,0.4891,0.5375,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3453,0.5574,0.4364,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.2853,0.6174,0.5666,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3514,0.6699,0.5215,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.3493,0.7322,0.4595,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_122@0.2893,0.7862,0.6266,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.0991,0.0743,0.5005,0.06",Page 123
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1011,0.1208,0.5806,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.033,0.192,0.6036,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1031,0.2521,0.5015,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1111,0.3008,0.3644,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.3313,0.3646,0.2943,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.038,0.3571,0.2873,0.156",Large N
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.2753,0.4186,0.3944,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1121,0.4876,0.5405,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1131,0.5424,0.5295,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1171,0.6099,0.5886,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.0591,0.6707,0.7147,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.046,0.7217,0.6336,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_123@0.1151,0.7802,0.6937,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3734,0.0698,0.5676,0.0533",Page 124
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.8118,0.108,0.1271,0.0255",Continued Neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3073,0.1208,0.6446,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3654,0.1913,0.5395,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3724,0.2483,0.5926,0.1155",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.2883,0.3106,0.4174,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.2973,0.3631,0.6677,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3504,0.4224,0.4635,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.1872,0.3586,0.2593,0.2753",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.1872,0.3586,0.2593,0.2753",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.4434,0.5356,0.3984,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3524,0.6062,0.5385,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3483,0.6707,0.5395,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3463,0.7239,0.5395,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_124@0.3423,0.7772,0.6266,0.0915",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.026,0.0615,0.6306,0.0683",Page 125
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1051,0.1133,0.6426,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1111,0.1838,0.4585,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.0511,0.2326,0.7538,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1081,0.2971,0.5536,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1091,0.3511,0.7037,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.0541,0.4179,0.6056,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1081,0.4764,0.5856,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1171,0.5394,0.5856,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1131,0.6002,0.5546,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1201,0.6444,0.6426,0.084",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1251,0.7224,0.5385,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_125@0.1261,0.7877,0.5425,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3674,0.0398,0.5536,0.0893",Page 126
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3724,0.1238,0.5536,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3684,0.1853,0.5065,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3003,0.2423,0.5786,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3624,0.2978,0.5255,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3614,0.3556,0.5395,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3574,0.4156,0.5445,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3604,0.4794,0.5445,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3554,0.5416,0.5536,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3514,0.5911,0.5996,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3433,0.6602,0.6306,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.2853,0.7014,0.6947,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_126@0.3413,0.7764,0.5536,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.0931,0.0413,0.7197,0.0863",Page 127
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.0961,0.1133,0.7037,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.1021,0.1748,0.5185,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.0981,0.2326,0.5185,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.0991,0.2678,0.6947,0.09",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.1061,0.3323,0.5686,0.0863",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.023,0.4096,0.6206,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.1031,0.4779,0.5045,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.0971,0.5431,0.4414,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.2172,0.6107,0.2292,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.037,0.6257,0.1682,0.1433",Large E
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.2072,0.6654,0.4414,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.2232,0.7299,0.4414,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_127@0.1151,0.7772,0.5235,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3884,0.072,0.3904,0.0503",Page 128
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3173,0.1283,0.5976,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3103,0.1763,0.6086,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3804,0.2363,0.5856,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3193,0.2911,0.6026,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3674,0.3571,0.6096,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3734,0.4216,0.5275,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3003,0.4846,0.5986,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3724,0.5469,0.5105,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3684,0.6062,0.5265,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3624,0.6602,0.4444,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.2963,0.7217,0.6557,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_128@0.3554,0.7742,0.5415,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.0941,0.0413,0.6897,0.0855",Page 129
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.043,0.12,0.5986,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1121,0.1845,0.5335,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1061,0.2296,0.5736,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.033,0.3031,0.6106,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1001,0.3631,0.5445,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.3103,0.4321,0.2683,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.048,0.4156,0.2663,0.1523",Large L
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.2262,0.4704,0.4304,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1031,0.5394,0.5506,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1051,0.6017,0.5345,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.1091,0.6729,0.3844,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.0531,0.7239,0.6677,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_129@0.044,0.7832,0.6867,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_130@0.3894,0.057,0.5776,0.0683",Page 130
"urn:cite:ecod:einsiedeln121img.sbe_0121_130@0.3073,0.1035,0.6607,0.0855",
