imageURN,textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.292,0.3571,0.335,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.128,0.4134,0.527,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.144,0.4734,0.49,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.139,0.5356,0.536,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.139,0.6039,0.507,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.145,0.6677,0.53,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.119,0.7344,0.34,0.0465",
"urn:cite:ecod:einsiedeln121img.sbe_0121_285@0.066,0.7779,0.535,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.361,0.0443,0.487,0.0825",Page 286
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.348,0.1215,0.573,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.288,0.1733,0.544,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.346,0.2341,0.544,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.347,0.2993,0.566,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.278,0.3646,0.338,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.265,0.4216,0.598,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.336,0.4914,0.529,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.341,0.5379,0.492,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.338,0.6047,0.536,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.561,0.6827,0.268,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.158,0.5551,0.392,0.2873",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.555,0.7202,0.334,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_286@0.533,0.7817,0.358,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.128,0.042,0.555,0.0773",Page 287
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.126,0.1178,0.557,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.134,0.18,0.282,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.063,0.2408,0.613,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.058,0.2941,0.603,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.132,0.3533,0.582,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.141,0.4104,0.449,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.08,0.4741,0.628,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.138,0.5499,0.542,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.141,0.6002,0.613,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.065,0.6639,0.656,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.141,0.7217,0.536,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_287@0.146,0.7779,0.554,0.0585",
"",Page 288
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
