Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.0771,0.0368,0.6907,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1221,0.1095,0.5976,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1331,0.1703,0.3363,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.0831,0.2176,0.6176,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1431,0.2536,0.6687,0.1043",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1361,0.3436,0.5966,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.045,0.4051,0.6496,0.0878",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.2563,0.4689,0.4224,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1301,0.5356,0.4224,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.0741,0.6002,0.6026,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1411,0.6497,0.5425,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1512,0.7164,0.5425,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_201@0.1341,0.7802,0.5996,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3353,0.0503,0.6256,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.2673,0.108,0.6907,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3253,0.1613,0.6156,0.0765",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3483,0.2318,0.5305,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.2833,0.2911,0.6156,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.2913,0.3368,0.6156,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3113,0.4216,0.6156,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.2432,0.4764,0.7037,0.0855",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3413,0.5431,0.5085,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.2813,0.6039,0.6396,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3363,0.6587,0.6396,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3073,0.7247,0.6396,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_202@0.3143,0.7734,0.6396,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1181,0.0525,0.5706,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1411,0.1043,0.6196,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.0811,0.1755,0.6196,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1421,0.2371,0.5285,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1331,0.2888,0.5285,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1011,0.3533,0.6627,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1251,0.4201,0.6627,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1081,0.4689,0.6627,0.0885",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.0951,0.5364,0.6286,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1081,0.6039,0.6286,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.043,0.6504,0.6907,0.1028",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.0961,0.7149,0.5936,0.0795",
"urn:cite:ecod:einsiedeln121img.sbe_0121_203@0.1141,0.7749,0.5936,0.0893",
