imageURN, textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.2613,0.7337,0.6496,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_004@0.3403,0.7952,0.5886,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1001,0.0675,0.5986,0.0645",Page 5
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0521,0.1215,0.2422,0.1598", giant letter D
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0561,0.129,0.6366,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.2743,0.192,0.3534,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1121,0.2498,0.6196,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1141,0.3068,0.5946,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1001,0.3661,0.3854,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0531,0.4299,0.7117,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.045,0.4794,0.6707,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1231,0.5446,0.3163,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0641,0.6047,0.6456,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1331,0.6714,0.6076,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0551,0.7277,0.5025,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0961,0.7952,0.5866,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.6527,0.7667,0.0951,0.0413", numes only from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3584,0.0638,0.6146,0.069",Page 6
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3504,0.132,0.6126,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2543,0.195,0.6967,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3363,0.2521,0.6306,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2663,0.3083,0.6356,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3163,0.3578,0.6096,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3123,0.4261,0.6356,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2693,0.4869,0.6707,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3253,0.5454,0.6136,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3413,0.6099,0.6036,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3393,0.6677,0.6266,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2723,0.7359,0.6697,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3353,0.7839,0.5946,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.2432,0.084,0.5005,0.0563",Page 7
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.044,0.1035,0.2222,0.162", giant letter G
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.046,0.129,0.6396,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.2513,0.1913,0.4434,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1361,0.2513,0.5796,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1291,0.3098,0.5836,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1261,0.3623,0.5666,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1451,0.4276,0.5425,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1351,0.4914,0.5385,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1211,0.5559,0.2312,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.0611,0.6137,0.7047,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.0641,0.6804,0.6366,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1211,0.7382,0.6046,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1271,0.7869,0.3393,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2513,0.0585,0.6657,0.084",Page 8
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3393,0.141,0.5856,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3283,0.2018,0.5285,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2482,0.2476,0.5355,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2903,0.3158,0.5946,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3123,0.3668,0.6156,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2192,0.4269,0.7407,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2863,0.5064,0.6086,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3193,0.5566,0.6206,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.8709,0.5176,0.0891,0.0833", numes only from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2462,0.6182,0.6456,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3113,0.6864,0.6356,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.8759,0.6542,0.0801,0.066", numes only from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3063,0.7367,0.6016,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2583,0.7944,0.5966,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1151,0.0623,0.6356,0.081",Page 9
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1321,0.1433,0.4054,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.041,0.1935,0.6046,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1131,0.2498,0.6577,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1251,0.3158,0.5155,0.054",
