ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_245@0.123,0.6827,0.499,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_245@0.081,0.7959,0.599,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.265,0.0908,0.601,0.0495", page 246
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.469,0.1598,0.448,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.489,0.2041,0.385,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.228,0.1335,0.272,0.1965", giant letter T
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.464,0.2618,0.436,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.341,0.3166,0.556,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.336,0.3766,0.552,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.277,0.4494,0.655,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.262,0.5011,0.634,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.336,0.5634,0.602,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.875,0.4861,0.075,0.1155", neumes from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.275,0.6174,0.667,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.33,0.6842,0.466,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.344,0.7127,0.59,0.1028", includes text from line above
"urn:cite:ecod:einsiedeln121img.sbe_0121_246@0.275,0.8035,0.624,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.125,0.0653,0.537,0.069", page 247
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.13,0.1283,0.544,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.131,0.1973,0.534,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.133,0.2483,0.502,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.081,0.2993,0.611,0.0773", includes text from line above
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.131,0.3683,0.539,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.125,0.4306,0.605,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.123,0.4936,0.528,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.131,0.5551,0.536,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.472,0.5184,0.272,0.0735", neumes from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.11,0.6099,0.565,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.078,0.6744,0.565,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.122,0.7359,0.569,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_247@0.121,0.7959,0.543,0.069",
