Image,Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0561,0.129,0.6366,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.2743,0.192,0.3534,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1121,0.2498,0.6196,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1141,0.3068,0.5946,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1001,0.3661,0.3854,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0531,0.4299,0.7117,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.045,0.4794,0.6707,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1231,0.5446,0.3163,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0641,0.6047,0.6456,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.1331,0.6714,0.6076,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0551,0.7277,0.5025,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.0961,0.7952,0.5866,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_005@0.6527,0.7667,0.0951,0.0413", "numes only from previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3584,0.0638,0.6146,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3504,0.132,0.6126,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2543,0.195,0.6967,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3363,0.2521,0.6306,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2663,0.3083,0.6356,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3163,0.3578,0.6096,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3123,0.4261,0.6356,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2693,0.4869,0.6707,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3253,0.5454,0.6136,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3413,0.6099,0.6036,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3393,0.6677,0.6266,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.2723,0.7359,0.6697,0.0578",
