IMAGE URN, notes
"urn:cite:ecod:einsiedeln121img.sbe_0121_415@0.119,0.6684,0.563,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_415@0.119,0.7239,0.563,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_415@0.107,0.7877,0.563,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.337,0.081,0.602,0.0585",page 416
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.339,0.1388,0.602,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.335,0.1913,0.353,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.262,0.2416,0.668,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.337,0.2986,0.586,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.359,0.3526,0.586,0.036","Just an 'aeuia' written inbetween lines"
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.346,0.3781,0.503,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.273,0.4111,0.674,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.328,0.4719,0.622,0.0773",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.339,0.5401,0.522,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.329,0.6017,0.58,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.327,0.6759,0.591,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.334,0.7277,0.591,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.323,0.7854,0.591,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_416@0.325,0.841,0.344,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.026,0.0533,0.635,0.072",page 417
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.109,0.1133,0.572,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.057,0.159,0.611,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.056,0.2003,0.627,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.102,0.2453,0.627,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.048,0.2888,0.627,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.106,0.3278,0.496,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.047,0.3683,0.626,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.052,0.4216,0.695,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.047,0.4666,0.695,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.041,0.5071,0.635,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.095,0.5491,0.47,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.044,0.5911,0.615,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.099,0.6362,0.383,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.029,0.6744,0.633,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.094,0.7262,0.414,0.0503",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.044,0.7637,0.602,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_417@0.079,0.8087,0.602,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.308,0.078,0.646,0.045",page 418
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.366,0.123,0.537,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.302,0.1695,0.608,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.379,0.2138,0.608,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.3,0.2551,0.656,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.293,0.2978,0.656,0.045",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.373,0.3353,0.579,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.373,0.3353,0.579,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.305,0.3878,0.645,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.303,0.4299,0.645,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.367,0.4741,0.352,0.048",
