FolioUrn,Sequence,Label
urn:cite:musicmss:sbe0121.57,57,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 57."
urn:cite:musicmss:sbe0121.58,58,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 58."
urn:cite:musicmss:sbe0121.59,59,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 59."
urn:cite:musicmss:sbe0121.60,60,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 60."
urn:cite:musicmss:sbe0121.61,61,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 61."
urn:cite:musicmss:sbe0121.62,62,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 62."
urn:cite:musicmss:sbe0121.63,63,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 63."
urn:cite:musicmss:sbe0121.64,64,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 64."
urn:cite:musicmss:sbe0121.65,65,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 65."
urn:cite:musicmss:sbe0121.66,66,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 66."
urn:cite:musicmss:sbe0121.67,67,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 67."
urn:cite:musicmss:sbe0121.68,68,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 68."
urn:cite:musicmss:sbe0121.69,69,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 69."
urn:cite:musicmss:sbe0121.70,70,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 70."
urn:cite:musicmss:sbe0121.71,71,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 71."
urn:cite:musicmss:sbe0121.72,72,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 72."
urn:cite:musicmss:sbe0121.73,73,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 73."
urn:cite:musicmss:sbe0121.74,74,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 74."
urn:cite:musicmss:sbe0121.75,75,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 75."
urn:cite:musicmss:sbe0121.76,76,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 76."
urn:cite:musicmss:sbe0121.77,77,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 77."
urn:cite:musicmss:sbe0121.78,78,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 78."
urn:cite:musicmss:sbe0121.79,79,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 79."
urn:cite:musicmss:sbe0121.80,80,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 80."
urn:cite:musicmss:sbe0121.81,81,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 81."
urn:cite:musicmss:sbe0121.82,82,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 82."
urn:cite:musicmss:sbe0121.83,83,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 83."
urn:cite:musicmss:sbe0121.84,84,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 84."
urn:cite:musicmss:sbe0121.85,85,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 85."
urn:cite:musicmss:sbe0121.86,86,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 86."
urn:cite:musicmss:sbe0121.87,87,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 87."
urn:cite:musicmss:sbe0121.88,88,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 88."
urn:cite:musicmss:sbe0121.89,89,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 89."
urn:cite:musicmss:sbe0121.90,90,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 90."
urn:cite:musicmss:sbe0121.91,91,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 91."
urn:cite:musicmss:sbe0121.92,92,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 92."
urn:cite:musicmss:sbe0121.93,93,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 93."
urn:cite:musicmss:sbe0121.94,94,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 94."
urn:cite:musicmss:sbe0121.95,95,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 95."
urn:cite:musicmss:sbe0121.96,96,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 96."
urn:cite:musicmss:sbe0121.97,97,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 97."
urn:cite:musicmss:sbe0121.98,98,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 98."
urn:cite:musicmss:sbe0121.99,99,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 99."
urn:cite:musicmss:sbe0121.100,100,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 100."
urn:cite:musicmss:sbe0121.101,101,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 101."
urn:cite:musicmss:sbe0121.102,102,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 102."
urn:cite:musicmss:sbe0121.103,103,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 103."
urn:cite:musicmss:sbe0121.104,104,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 104."
urn:cite:musicmss:sbe0121.105,105,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 105."
urn:cite:musicmss:sbe0121.106,106,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 106."
urn:cite:musicmss:sbe0121.107,107,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 107."
urn:cite:musicmss:sbe0121.108,108,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 108."
urn:cite:musicmss:sbe0121.109,109,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 109."
urn:cite:musicmss:sbe0121.110,110,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 110."
urn:cite:musicmss:sbe0121.111,111,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 111."
urn:cite:musicmss:sbe0121.112,112,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 112."
urn:cite:musicmss:sbe0121.113,113,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 113."
urn:cite:musicmss:sbe0121.114,114,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 114."
urn:cite:musicmss:sbe0121.115,115,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 115."
urn:cite:musicmss:sbe0121.116,116,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 116."
urn:cite:musicmss:sbe0121.117,117,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 117."
urn:cite:musicmss:sbe0121.118,118,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 118."
urn:cite:musicmss:sbe0121.119,119,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 119."
urn:cite:musicmss:sbe0121.120,120,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 120."
urn:cite:musicmss:sbe0121.121,121,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 121."
urn:cite:musicmss:sbe0121.122,122,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 122."
urn:cite:musicmss:sbe0121.123,123,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 123."
urn:cite:musicmss:sbe0121.124,124,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 124."
urn:cite:musicmss:sbe0121.125,125,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 125."
urn:cite:musicmss:sbe0121.126,126,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 126."
urn:cite:musicmss:sbe0121.127,127,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 127."
urn:cite:musicmss:sbe0121.128,128,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 128."
urn:cite:musicmss:sbe0121.129,129,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 129."
urn:cite:musicmss:sbe0121.130,130,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 130."
urn:cite:musicmss:sbe0121.131,131,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 131."
urn:cite:musicmss:sbe0121.132,132,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 132."
urn:cite:musicmss:sbe0121.133,133,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 133."
urn:cite:musicmss:sbe0121.134,134,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 134."
