FolioUrn,Sequence,Label,DefaultImage
urn:cite:musicmss:sg339.45,45,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 45.",urn:cite:musicmss:sg339.45
urn:cite:musicmss:sg339.46,46,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 46.",urn:cite:musicmss:sg339.46
urn:cite:musicmss:sg339.47,47,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 47.",urn:cite:musicmss:sg339.47
urn:cite:musicmss:sg339.48,48,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 48.",urn:cite:musicmss:sg339.48
urn:cite:musicmss:sg339.49,49,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 49.",urn:cite:musicmss:sg339.49
urn:cite:musicmss:sg339.50,50,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 50.",urn:cite:musicmss:sg339.50
urn:cite:musicmss:sg339.51,51,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 51.",urn:cite:musicmss:sg339.51
urn:cite:musicmss:sg339.52,52,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 52.",urn:cite:musicmss:sg339.52
urn:cite:musicmss:sg339.53,53,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 53.",urn:cite:musicmss:sg339.53
urn:cite:musicmss:sg339.54,54,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 54.",urn:cite:musicmss:sg339.54
urn:cite:musicmss:sg339.55,55,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 55.",urn:cite:musicmss:sg339.55
urn:cite:musicmss:sg339.56,56,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 56.",urn:cite:musicmss:sg339.56
urn:cite:musicmss:sg339.57,57,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 57.",urn:cite:musicmss:sg339.57
urn:cite:musicmss:sg339.58,58,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 58.",urn:cite:musicmss:sg339.58
urn:cite:musicmss:sg339.59,59,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 59.",urn:cite:musicmss:sg339.59
urn:cite:musicmss:sg339.60,60,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 60.",urn:cite:musicmss:sg339.60
urn:cite:musicmss:sg339.61,61,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 61.",urn:cite:musicmss:sg339.61
urn:cite:musicmss:sg339.62,62,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 62.",urn:cite:musicmss:sg339.62
urn:cite:musicmss:sg339.63,63,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 63.",urn:cite:musicmss:sg339.63
urn:cite:musicmss:sg339.64,64,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 64.",urn:cite:musicmss:sg339.64
urn:cite:musicmss:sg339.65,65,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 65.",urn:cite:musicmss:sg339.65
urn:cite:musicmss:sg339.66,66,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 66.",urn:cite:musicmss:sg339.66
urn:cite:musicmss:sg339.67,67,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 67.",urn:cite:musicmss:sg339.67
urn:cite:musicmss:sg339.68,68,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 68.",urn:cite:musicmss:sg339.68
urn:cite:musicmss:sg339.69,69,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 69.",urn:cite:musicmss:sg339.69
urn:cite:musicmss:sg339.70,70,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 70.",urn:cite:musicmss:sg339.70
urn:cite:musicmss:sg339.71,71,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 71.",urn:cite:musicmss:sg339.71
urn:cite:musicmss:sg339.72,72,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 72.",urn:cite:musicmss:sg339.72
urn:cite:musicmss:sg339.73,73,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 73.",urn:cite:musicmss:sg339.73
urn:cite:musicmss:sg339.74,74,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 74.",urn:cite:musicmss:sg339.74
urn:cite:musicmss:sg339.75,75,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 75.",urn:cite:musicmss:sg339.75
