"page 111",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0631,0.0653,0.5646,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.013,0.108,0.6987,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0901,0.1643,0.6176,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.0951,0.2363,0.6917,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.036,0.2963,0.6577,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1031,0.3556,0.6386,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1071,0.4276,0.5896,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.03,0.4869,0.6086,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1131,0.5424,0.5085,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1131,0.6039,0.6106,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1201,0.6722,0.2863,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.045,0.7232,0.6246,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_111@0.1181,0.7944,0.5165,0.054",
"page 112",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3383,0.063,0.5926,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.4024,0.1215,0.5165,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3954,0.186,0.5285,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3994,0.2506,0.4915,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3213,0.3038,0.5866,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3844,0.3623,0.5866,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3854,0.4299,0.5335,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3834,0.4959,0.5385,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3794,0.5544,0.5806,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.2963,0.6054,0.6386,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3734,0.6707,0.4925,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_112@0.3353,0.8012,0.3453,0.045",
"page 113",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",

